isbn,title,author,number_of_pages,publication_date,language_code,avg_rating
439785960,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr,652,9/16/2006,eng,4.57
439358078,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,870,9/1/2004,eng,4.49
439554896,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,352,11/1/2003,eng,4.42
043965548X,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,435,5/1/2004,eng,4.56
439682584,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690,9/13/2004,eng,4.78
976540606,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,152,4/26/2005,en-US,3.74
439827604,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342,9/12/2005,eng,4.73
517226952,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,11/1/2005,eng,4.38
345453743,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,4/30/2002,eng,4.38
1400052920,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,215,8/3/2004,eng,4.22
739322206,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,6,3/23/2005,eng,4.22
517149257,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815,1/17/1996,eng,4.38
076790818X,A Short History of Nearly Everything,Bill Bryson,544,9/14/2004,eng,4.21
767915062,Bill Bryson's African Diary,Bill Bryson,55,12/3/2002,eng,3.44
767910435,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,256,9/14/2004,eng,3.87
767903862,In a Sunburned Country,Bill Bryson,335,5/15/2001,eng,4.07
076790382X,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,304,6/28/2000,eng,3.9
60920084,The Lost Continent: Travels in Small Town America,Bill Bryson,299,8/28/1990,eng,3.83
380713802,Neither Here nor There: Travels in Europe,Bill Bryson,254,3/28/1993,eng,3.86
380727501,Notes from a Small Island,Bill Bryson,324,5/28/1997,eng,3.91
380715430,The Mother Tongue: English and How It Got That Way,Bill Bryson,270,9/28/1991,eng,3.93
345538374,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,9/25/2012,eng,4.59
618517650,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1184,10/21/2004,eng,4.5
618346252,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,398,9/5/2003,eng,4.36
618260587,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,1216,10/1/2002,en-US,4.5
618391002,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,218,11/5/2003,eng,4.53
618510826,The Lord of the Rings: Complete Visual Companion,Jude Fisher,224,11/15/2004,eng,4.5
